record_id,symbol,date,year,body,vote_type,seq,iso3,country,vote
25023,E/CN.4/RES/II[X]PARTII,1954-04-14,1954,Commission on Human Rights,RECORDED,6,FRA,FRANCE,N
25023,E/CN.4/RES/II[X]PARTII,1954-04-14,1954,Commission on Human Rights,RECORDED,7,GRC,GREECE,Y
25023,E/CN.4/RES/II[X]PARTII,1954-04-14,1954,Commission on Human Rights,RECORDED,8,IND,INDIA,Y
25023,E/CN.4/RES/II[X]PARTII,1954-04-14,1954,Commission on Human Rights,RECORDED,9,LBN,LEBANON,.
25023,E/CN.4/RES/II[X]PARTII,1954-04-14,1954,Commission on Human Rights,RECORDED,10,PAK,PAKISTAN,Y
25023,E/CN.4/RES/II[X]PARTII,1954-04-14,1954,Commission on Human Rights,RECORDED,11,PHL,PHILIPPINES,Y
25023,E/CN.4/RES/II[X]PARTII,1954-04-14,1954,Commission on Human Rights,RECORDED,12,POL,POLAND,Y
25023,E/CN.4/RES/II[X]PARTII,1954-04-14,1954,Commission on Human Rights,RECORDED,13,TUR,TURKEY,N
25023,E/CN.4/RES/II[X]PARTII,1954-04-14,1954,Commission on Human Rights,RECORDED,14,UKR,UKRAINIAN SSR,Y
25023,E/CN.4/RES/II[X]PARTII,1954-04-14,1954,Commission on Human Rights,RECORDED,15,SUN,USSR,Y
25023,E/CN.4/RES/II[X]PARTII,1954-04-14,1954,Commission on Human Rights,RECORDED,16,GBR,UNITED KINGDOM,N
25023,E/CN.4/RES/II[X]PARTII,1954-04-14,1954,Commission on Human Rights,RECORDED,17,USA,UNITED STATES,N
25023,E/CN.4/RES/II[X]PARTII,1954-04-14,1954,Commission on Human Rights,RECORDED,18,URY,URUGUAY,Y
25022,E/CN.4/RES/II[X]PARTI,1954-04-14,1954,Commission on Human Rights,RECORDED,1,AUS,AUSTRALIA,N
25022,E/CN.4/RES/II[X]PARTI,1954-04-14,1954,Commission on Human Rights,RECORDED,2,BEL,BELGIUM,N
25022,E/CN.4/RES/II[X]PARTI,1954-04-14,1954,Commission on Human Rights,RECORDED,3,CHL,CHILE,Y
25022,E/CN.4/RES/II[X]PARTI,1954-04-14,1954,Commission on Human Rights,RECORDED,4,CHN,CHINA,Y
25022,E/CN.4/RES/II[X]PARTI,1954-04-14,1954,Commission on Human Rights,RECORDED,5,EGY,EGYPT,Y
25022,E/CN.4/RES/II[X]PARTI,1954-04-14,1954,Commission on Human Rights,RECORDED,6,FRA,FRANCE,N
25022,E/CN.4/RES/II[X]PARTI,1954-04-14,1954,Commission on Human Rights,RECORDED,7,GRC,GREECE,Y
25022,E/CN.4/RES/II[X]PARTI,1954-04-14,1954,Commission on Human Rights,RECORDED,8,IND,INDIA,Y
25022,E/CN.4/RES/II[X]PARTI,1954-04-14,1954,Commission on Human Rights,RECORDED,9,LBN,LEBANON,.
25022,E/CN.4/RES/II[X]PARTI,1954-04-14,1954,Commission on Human Rights,RECORDED,10,PAK,PAKISTAN,Y
25022,E/CN.4/RES/II[X]PARTI,1954-04-14,1954,Commission on Human Rights,RECORDED,11,PHL,PHILIPPINES,Y
25022,E/CN.4/RES/II[X]PARTI,1954-04-14,1954,Commission on Human Rights,RECORDED,12,POL,POLAND,Y
25022,E/CN.4/RES/II[X]PARTI,1954-04-14,1954,Commission on Human Rights,RECORDED,13,TUR,TURKEY,N
25022,E/CN.4/RES/II[X]PARTI,1954-04-14,1954,Commission on Human Rights,RECORDED,14,UKR,UKRAINIAN SSR,Y
25022,E/CN.4/RES/II[X]PARTI,1954-04-14,1954,Commission on Human Rights,RECORDED,15,SUN,USSR,Y
25022,E/CN.4/RES/II[X]PARTI,1954-04-14,1954,Commission on Human Rights,RECORDED,16,GBR,UNITED KINGDOM,N
25022,E/CN.4/RES/II[X]PARTI,1954-04-14,1954,Commission on Human Rights,RECORDED,17,USA,UNITED STATES,N
25022,E/CN.4/RES/II[X]PARTI,1954-04-14,1954,Commission on Human Rights,RECORDED,18,URY,URUGUAY,Y
25024,E/CN.4/RES/XI[X],1954-04-13,1954,Commission on Human Rights,RECORDED,1,AUS,AUSTRALIA,N
25024,E/CN.4/RES/XI[X],1954-04-13,1954,Commission on Human Rights,RECORDED,2,BEL,BELGIUM,N
25024,E/CN.4/RES/XI[X],1954-04-13,1954,Commission on Human Rights,RECORDED,3,CHL,CHILE,Y
25024,E/CN.4/RES/XI[X],1954-04-13,1954,Commission on Human Rights,RECORDED,4,CHN,CHINA,A
25024,E/CN.4/RES/XI[X],1954-04-13,1954,Commission on Human Rights,RECORDED,5,EGY,EGYPT,Y
25024,E/CN.4/RES/XI[X],1954-04-13,1954,Commission on Human Rights,RECORDED,6,FRA,FRANCE,N
25024,E/CN.4/RES/XI[X],1954-04-13,1954,Commission on Human Rights,RECORDED,7,GRC,GREECE,A
25024,E/CN.4/RES/XI[X],1954-04-13,1954,Commission on Human Rights,RECORDED,8,IND,INDIA,Y
25024,E/CN.4/RES/XI[X],1954-04-13,1954,Commission on Human Rights,RECORDED,9,LBN,LEBANON,.
25024,E/CN.4/RES/XI[X],1954-04-13,1954,Commission on Human Rights,RECORDED,10,PAK,PAKISTAN,Y
25024,E/CN.4/RES/XI[X],1954-04-13,1954,Commission on Human Rights,RECORDED,11,PHL,PHILIPPINES,Y
25024,E/CN.4/RES/XI[X],1954-04-13,1954,Commission on Human Rights,RECORDED,12,POL,POLAND,Y
25024,E/CN.4/RES/XI[X],1954-04-13,1954,Commission on Human Rights,RECORDED,13,TUR,TURKEY,A
25024,E/CN.4/RES/XI[X],1954-04-13,1954,Commission on Human Rights,RECORDED,14,UKR,UKRAINIAN SSR,Y
25024,E/CN.4/RES/XI[X],1954-04-13,1954,Commission on Human Rights,RECORDED,15,SUN,USSR,Y
25024,E/CN.4/RES/XI[X],1954-04-13,1954,Commission on Human Rights,RECORDED,16,GBR,UNITED KINGDOM,N
25024,E/CN.4/RES/XI[X],1954-04-13,1954,Commission on Human Rights,RECORDED,17,USA,UNITED STATES,N
25024,E/CN.4/RES/XI[X],1954-04-13,1954,Commission on Human Rights,RECORDED,18,URY,URUGUAY,Y
25008,E/CN.4/RES/VII[XI],1955-04-25,1955,Commission on Human Rights,RECORDED,1,AUS,AUSTRALIA,N
25008,E/CN.4/RES/VII[XI],1955-04-25,1955,Commission on Human Rights,RECORDED,2,CHL,CHILE,Y
25008,E/CN.4/RES/VII[XI],1955-04-25,1955,Commission on Human Rights,RECORDED,3,CHN,CHINA,A
25008,E/CN.4/RES/VII[XI],1955-04-25,1955,Commission on Human Rights,RECORDED,4,EGY,EGYPT,Y
25008,E/CN.4/RES/VII[XI],1955-04-25,1955,Commission on Human Rights,RECORDED,5,FRA,FRANCE,N
25008,E/CN.4/RES/VII[XI],1955-04-25,1955,Commission on Human Rights,RECORDED,6,GRC,GREECE,Y
25008,E/CN.4/RES/VII[XI],1955-04-25,1955,Commission on Human Rights,RECORDED,7,IND,INDIA,Y
25008,E/CN.4/RES/VII[XI],1955-04-25,1955,Commission on Human Rights,RECORDED,8,LBN,LEBANON,Y
25008,E/CN.4/RES/VII[XI],1955-04-25,1955,Commission on Human Rights,RECORDED,9,MEX,MEXICO,Y
25008,E/CN.4/RES/VII[XI],1955-04-25,1955,Commission on Human Rights,RECORDED,10,NOR,NORWAY,N
25008,E/CN.4/RES/VII[XI],1955-04-25,1955,Commission on Human Rights,RECORDED,11,PAK,PAKISTAN,Y
25008,E/CN.4/RES/VII[XI],1955-04-25,1955,Commission on Human Rights,RECORDED,12,PHL,PHILIPPINES,Y
25008,E/CN.4/RES/VII[XI],1955-04-25,1955,Commission on Human Rights,RECORDED,13,POL,POLAND,Y
25008,E/CN.4/RES/VII[XI],1955-04-25,1955,Commission on Human Rights,RECORDED,14,TUR,TURKEY,N
25008,E/CN.4/RES/VII[XI],1955-04-25,1955,Commission on Human Rights,RECORDED,15,UKR,UKRAINIAN SSR,Y
25008,E/CN.4/RES/VII[XI],1955-04-25,1955,Commission on Human Rights,RECORDED,16,SUN,USSR,Y
25008,E/CN.4/RES/VII[XI],1955-04-25,1955,Commission on Human Rights,RECORDED,17,GBR,UNITED KINGDOM,N
25008,E/CN.4/RES/VII[XI],1955-04-25,1955,Commission on Human Rights,RECORDED,18,USA,UNITED STATES,N
25009,E/CN.4/RES/VI[XI],1955-04-20,1955,Commission on Human Rights,RECORDED,1,AUS,AUSTRALIA,N
25009,E/CN.4/RES/VI[XI],1955-04-20,1955,Commission on Human Rights,RECORDED,2,CHL,CHILE,Y
25009,E/CN.4/RES/VI[XI],1955-04-20,1955,Commission on Human Rights,RECORDED,3,CHN,CHINA,Y
